country,peak_rank,period_label,target_period_end,fusion_score,attribution_label,trajectory_profile,peak_confidence_score,match_class,match_confidence,credible_match,matched_event_count,matched_event_ids,matched_event_titles,best_event_id,best_event_title,best_event_type,best_event_start,best_event_end,best_event_source_category,time_distance_days,overlap_days,temporal_score,thematic_score,support_score,evidence_chain,uncertainty_note
China,1,2026-02,2026-02-28,65.42,model_driven_peak,weak_country_specificity,0.6089,plausible_context_match,0.5921,True,1,evtreg_chn_002,Taiwan strait signaling rise,evtreg_chn_002,Taiwan strait signaling rise,security_signal,2026-01-01,2026-04-20,analyst_curated_fixture,0,1,1.0,0.0,0.616,"temporal=1.00, thematic=0.00, support=0.62, class=plausible_context_match",global_wave_overlap_caution
China,2,2025-08,2025-08-31,56.33,model_driven_peak,weak_country_specificity,0.6111,multi_event_overlap,0.6965,True,2,evtreg_chn_003|evtreg_chn_001,Industrial demand slowdown phase | Property and local finance stress,evtreg_chn_003,Industrial demand slowdown phase,economic_cycle,2025-06-15,2025-08-31,analyst_curated_fixture,0,1,1.0,0.5,0.6423,"temporal=1.00, thematic=0.50, support=0.64, class=multi_event_overlap",multi_event_overlap_manual_review
China,3,2026-01,2026-01-31,54.61,model_driven_peak,weak_country_specificity,0.6705,multi_event_overlap,0.6644,True,2,evtreg_chn_002|evtreg_chn_001,Taiwan strait signaling rise | Property and local finance stress,evtreg_chn_002,Taiwan strait signaling rise,security_signal,2026-01-01,2026-04-20,analyst_curated_fixture,0,1,1.0,0.4083,0.7125,"temporal=1.00, thematic=0.41, support=0.71, class=multi_event_overlap",multi_event_overlap_manual_review
Germany,1,2025-12,2025-12-31,47.74,model_driven_peak,weak_country_specificity,0.5592,weak_match,0.4453,False,1,evtreg_ger_001,Coalition budget stress phase,evtreg_ger_001,Coalition budget stress phase,domestic_politics,2025-10-15,2025-12-20,analyst_curated_fixture,0,1,0.9325,0.0,0.5583,"temporal=0.93, thematic=0.00, support=0.56, class=weak_match",weak_match_manual_review
Germany,2,2025-06,2025-06-30,43.54,model_driven_peak,weak_country_specificity,0.4998,direct_match,0.6645,True,1,evtreg_ger_003,Energy cost adjustment cycle,evtreg_ger_003,Energy cost adjustment cycle,economic_policy,2025-06-01,2025-08-31,analyst_curated_fixture,0,1,1.0,0.5,0.4881,"temporal=1.00, thematic=0.50, support=0.49, class=direct_match",global_wave_overlap_caution
Germany,3,2025-11,2025-11-30,36.73,model_driven_peak,weak_country_specificity,0.6392,weak_match,0.4962,False,1,evtreg_ger_001,Coalition budget stress phase,evtreg_ger_001,Coalition budget stress phase,domestic_politics,2025-10-15,2025-12-20,analyst_curated_fixture,0,1,1.0,0.0,0.664,"temporal=1.00, thematic=0.00, support=0.66, class=weak_match",weak_match_manual_review
Iran,1,2025-08,2025-08-31,77.97,model_driven_peak,broad_multi-layer_stress,0.756,direct_match,0.7609,True,1,evtreg_irn_002,Sanctions and currency pressure phase,evtreg_irn_002,Sanctions and currency pressure phase,economic_security,2025-08-01,2025-11-30,analyst_curated_fixture,0,1,1.0,0.4083,0.7805,"temporal=1.00, thematic=0.41, support=0.78, class=direct_match",global_wave_overlap_caution
Iran,2,2025-06,2025-06-30,76.73,model_driven_peak,broad_multi-layer_stress,0.7662,weak_match,0.5352,False,1,evtreg_irn_002,Sanctions and currency pressure phase,evtreg_irn_002,Sanctions and currency pressure phase,economic_security,2025-08-01,2025-11-30,analyst_curated_fixture,32,0,0.5099,0.4083,0.7856,"temporal=0.51, thematic=0.41, support=0.79, class=weak_match",weak_match_manual_review
Iran,3,2025-12,2025-12-31,70.23,weakly_supported_peak,broad_multi-layer_stress,0.766,multi_event_overlap,0.7342,True,2,evtreg_irn_001|evtreg_irn_002,Proxy confrontation escalation | Sanctions and currency pressure phase,evtreg_irn_001,Proxy confrontation escalation,external_conflict,2025-10-20,2026-01-20,analyst_curated_fixture,0,1,1.0,0.8167,0.7931,"temporal=1.00, thematic=0.82, support=0.79, class=multi_event_overlap",multi_event_overlap_manual_review
Israel,1,2025-12,2025-12-31,70.28,model_driven_peak,weak_country_specificity,0.7078,plausible_context_match,0.6538,True,1,evtreg_isr_001,Gaza border escalation window,evtreg_isr_001,Gaza border escalation window,security_escalation,2025-10-01,2025-12-15,analyst_curated_fixture,0,1,0.9019,0.5,0.7235,"temporal=0.90, thematic=0.50, support=0.72, class=plausible_context_match",global_wave_overlap_caution
Israel,2,2025-07,2025-07-31,66.68,model_driven_peak,weak_country_specificity,0.6786,weak_match,0.5084,False,1,evtreg_isr_003,Domestic governance contestation,evtreg_isr_003,Domestic governance contestation,domestic_politics,2025-07-01,2025-08-31,analyst_curated_fixture,0,1,1.0,0.0,0.7089,"temporal=1.00, thematic=0.00, support=0.71, class=weak_match",weak_match_manual_review
Israel,3,2026-01,2026-01-31,70.45,model_driven_peak,weak_country_specificity,0.6487,direct_match,0.7045,True,1,evtreg_isr_002,Regional alert and strike cycle,evtreg_isr_002,Regional alert and strike cycle,security_escalation,2026-02-01,2026-04-15,analyst_curated_fixture,1,0,0.9459,0.4083,0.6611,"temporal=0.95, thematic=0.41, support=0.66, class=direct_match",global_wave_overlap_caution
Japan,1,2025-12,2025-12-31,37.56,model_driven_peak,weak_country_specificity,0.4966,weak_match,0.461,False,1,evtreg_jpn_002,Regional maritime alert pulse,evtreg_jpn_002,Regional maritime alert pulse,security_policy,2026-01-01,2026-03-31,analyst_curated_fixture,1,0,0.9232,0.0,0.4865,"temporal=0.92, thematic=0.00, support=0.49, class=weak_match",weak_match_manual_review
Japan,2,2025-06,2025-06-30,37.11,model_driven_peak,weak_country_specificity,0.4966,weak_match,0.4249,False,1,evtreg_jpn_001,Yen volatility and policy response,evtreg_jpn_001,Yen volatility and policy response,economic_policy,2025-08-01,2025-10-31,analyst_curated_fixture,32,0,0.5099,0.4083,0.4865,"temporal=0.51, thematic=0.41, support=0.49, class=weak_match",weak_match_manual_review
Japan,3,2025-07,2025-07-31,38.73,model_driven_peak,weak_country_specificity,0.4966,plausible_context_match,0.5975,True,1,evtreg_jpn_001,Yen volatility and policy response,evtreg_jpn_001,Yen volatility and policy response,economic_policy,2025-08-01,2025-10-31,analyst_curated_fixture,1,0,0.9232,0.4083,0.4865,"temporal=0.92, thematic=0.41, support=0.49, class=plausible_context_match",global_wave_overlap_caution
Nigeria,1,2025-07,2025-07-31,75.6,model_driven_peak,broad_multi-layer_stress,0.7076,direct_match,0.8268,True,1,evtreg_nga_003,Food price and fiscal stress corridor,evtreg_nga_003,Food price and fiscal stress corridor,economic_security,2025-06-01,2025-09-30,analyst_curated_fixture,0,1,1.0,0.8167,0.7234,"temporal=1.00, thematic=0.82, support=0.72, class=direct_match",global_wave_overlap_caution
Nigeria,2,2026-02,2026-02-28,78.48,weakly_supported_peak,broad_multi-layer_stress,0.7315,plausible_context_match,0.6713,True,1,evtreg_nga_002,Election governance insecurity pulse,evtreg_nga_002,Election governance insecurity pulse,governance_security,2026-01-01,2026-04-20,analyst_curated_fixture,0,1,1.0,0.4083,0.743,"temporal=1.00, thematic=0.41, support=0.74, class=plausible_context_match",global_wave_overlap_caution
Nigeria,3,2026-01,2026-01-31,78.33,weakly_supported_peak,broad_multi-layer_stress,0.7719,multi_event_overlap,0.6835,True,2,evtreg_nga_002|evtreg_nga_001,Election governance insecurity pulse | Subnational violence pressure phase,evtreg_nga_002,Election governance insecurity pulse,governance_security,2026-01-01,2026-04-20,analyst_curated_fixture,0,1,1.0,0.4083,0.7961,"temporal=1.00, thematic=0.41, support=0.80, class=multi_event_overlap",multi_event_overlap_manual_review
Poland,1,2026-02,2026-02-28,54.86,model_driven_peak,weak_country_specificity,0.5872,weak_match,0.4734,False,1,evtreg_pol_002,Domestic protest and institutional contest,evtreg_pol_002,Domestic protest and institutional contest,domestic_politics,2026-02-01,2026-03-31,analyst_curated_fixture,0,1,1.0,0.0,0.6052,"temporal=1.00, thematic=0.00, support=0.61, class=weak_match",weak_match_manual_review
Poland,2,2025-08,2025-08-31,48.19,model_driven_peak,weak_country_specificity,0.5678,direct_match,0.6946,True,1,evtreg_pol_003,Regional supply and inflation pressure,evtreg_pol_003,Regional supply and inflation pressure,economic_cycle,2025-06-01,2025-08-31,analyst_curated_fixture,0,1,1.0,0.5,0.5878,"temporal=1.00, thematic=0.50, support=0.59, class=direct_match",global_wave_overlap_caution
Poland,3,2026-03,2026-03-31,42.76,model_driven_peak,weak_country_specificity,0.6272,weak_match,0.4899,False,1,evtreg_pol_002,Domestic protest and institutional contest,evtreg_pol_002,Domestic protest and institutional contest,domestic_politics,2026-02-01,2026-03-31,analyst_curated_fixture,0,1,1.0,0.0,0.658,"temporal=1.00, thematic=0.00, support=0.66, class=weak_match",weak_match_manual_review
Russia,1,2026-02,2026-02-28,74.24,model_driven_peak,broad_multi-layer_stress,0.7188,plausible_context_match,0.6836,True,1,evtreg_rus_002,Mobilization and security control cycle,evtreg_rus_002,Mobilization and security control cycle,security_politics,2026-01-20,2026-04-20,analyst_curated_fixture,0,1,1.0,0.5,0.7367,"temporal=1.00, thematic=0.50, support=0.74, class=plausible_context_match",global_wave_overlap_caution
Russia,2,2025-08,2025-08-31,73.06,model_driven_peak,broad_multi-layer_stress,0.6634,direct_match,0.7161,True,1,evtreg_rus_003,Domestic economic pressure corridor,evtreg_rus_003,Domestic economic pressure corridor,economic_security,2025-07-01,2025-09-30,analyst_curated_fixture,0,1,1.0,0.4083,0.6685,"temporal=1.00, thematic=0.41, support=0.67, class=direct_match",global_wave_overlap_caution
Russia,3,2025-07,2025-07-31,73.1,model_driven_peak,broad_multi-layer_stress,0.6995,direct_match,0.8206,True,1,evtreg_rus_003,Domestic economic pressure corridor,evtreg_rus_003,Domestic economic pressure corridor,economic_security,2025-07-01,2025-09-30,analyst_curated_fixture,0,1,1.0,0.8167,0.7194,"temporal=1.00, thematic=0.82, support=0.72, class=direct_match",global_wave_overlap_caution
